v133,v233,i33,r33
55,9,1.6666666666666667,5.3999999999999995
58,10,1.7575757575757576,5.689655172413793
61,11,1.8484848484848484,5.950819672131148
65,12,1.9696969696969697,6.092307692307692
69,13,2.090909090909091,6.217391304347826
74,14,2.242424242424242,6.243243243243244
79,15,2.393939393939394,6.265822784810126
82,16,2.484848484848485,6.439024390243903
86,17,2.606060606060606,6.523255813953488
90,18,2.727272727272727,6.6000000000000005
84,19,2.5454545454545454,7.464285714285714
94,20,2.8484848484848486,7.0212765957446805
101,21,3.0606060606060606,6.861386138613861
105,22,3.1818181818181817,6.914285714285715
107,23,3.242424242424242,7.093457943925234
111,24,3.3636363636363638,7.135135135135135
115,25,3.484848484848485,7.173913043478261
118,26,3.5757575757575757,7.271186440677966
120,27,3.6363636363636362,7.425
123,28,3.727272727272727,7.51219512195122
125,29,3.787878787878788,7.656
128,30,3.878787878787879,7.734375
130,31,3.9393939393939394,7.869230769230769
133,32,4.03030303030303,7.939849624060151
135,33,4.090909090909091,8.066666666666666
137,34,4.151515151515151,8.18978102189781
139,35,4.212121212121212,8.309352517985612
140,36,4.242424242424242,8.485714285714286
142,37,4.303030303030303,8.598591549295776
144,38,4.363636363636363,8.708333333333334
146,39,4.424242424242424,8.815068493150685
148,40,4.484848484848484,8.91891891891892
149,41,4.515151515151516,9.080536912751677
150,42,4.545454545454546,9.239999999999998
151,43,4.575757575757576,9.397350993377483
153,44,4.636363636363637,9.490196078431373
144,55,4.363636363636363,12.604166666666668
136,69,4.121212121212121,16.74264705882353
117,97,3.5454545454545454,27.358974358974358
113,101,3.4242424242424243,29.495575221238937
105,115,3.1818181818181817,36.142857142857146
97,131,2.9393939393939394,44.56701030927835
93,136,2.8181818181818183,48.25806451612903
88,143,2.6666666666666665,53.625
86,150,2.606060606060606,57.55813953488372
82,155,2.484848484848485,62.3780487804878
81,160,2.4545454545454546,65.18518518518519
77,170,2.3333333333333335,72.85714285714285
76,175,2.303030303030303,75.98684210526315
74,180,2.242424242424242,80.27027027027027
73,187,2.212121212121212,84.53424657534248
72,194,2.1818181818181817,88.91666666666667
69,207,2.090909090909091,99.0
62,212,1.878787878787879,112.83870967741935
55,219,1.6666666666666667,131.4
47,222,1.4242424242424243,155.87234042553192
41,229,1.2424242424242424,184.3170731707317
33,233,1.0,233.0
23,278,0.696969696969697,398.86956521739125
18,291,0.5454545454545454,533.5
17,295,0.5151515151515151,572.6470588235294
16,306,0.48484848484848486,631.125
15,326,0.45454545454545453,717.2
16,392,0.48484848484848486,808.5
17,398,0.5151515151515151,772.5882352941177
18,405,0.5454545454545454,742.5
19,409,0.5757575757575758,710.3684210526316
20,412,0.6060606060606061,679.8
21,417,0.6363636363636364,655.2857142857143
23,422,0.696969696969697,605.4782608695651
26,429,0.7878787878787878,544.5
30,437,0.9090909090909091,480.7
35,442,1.0606060606060606,416.7428571428572
41,449,1.2424242424242424,361.390243902439
49,456,1.4848484848484849,307.1020408163265
57,461,1.7272727272727273,266.89473684210526
60,463,1.8181818181818181,254.65
67,467,2.0303030303030303,230.01492537313433
72,469,2.1818181818181817,214.95833333333334
77,471,2.3333333333333335,201.85714285714283
82,473,2.484848484848485,190.35365853658536
90,477,2.727272727272727,174.9
102,480,3.090909090909091,155.29411764705884
112,483,3.393939393939394,142.3125
122,486,3.696969696969697,131.45901639344262
137,490,4.151515151515151,118.02919708029198
142,491,4.303030303030303,114.10563380281691
162,495,4.909090909090909,100.83333333333333
174,496,5.2727272727272725,94.06896551724138
188,498,5.696969696969697,87.41489361702128
200,500,6.0606060606060606,82.5
215,502,6.515151515151516,77.05116279069767
230,504,6.96969696969697,72.31304347826087
245,506,7.424242424242424,68.15510204081633
260,509,7.878787878787879,64.60384615384615
266,509,8.06060606060606,63.14661654135338
