i	bg	bt	bts	w	dw
0.0	200	0.02	0.0004	94.2	0.0
0.2	322	0.0322	0.00103684	94.312	0.11199999999999477
0.4	444	0.0444	0.00197136	94.418	0.21800000000000352
0.6000000000000001	582	0.0582	0.00338724	94.576	0.37599999999999056
0.8	717	0.0717	0.00514089	94.807	0.6069999999999993
1.0	853	0.0853	0.00727609	95.11	0.9099999999999966
1.2000000000000002	993	0.0993	0.00986049	95.454	1.2539999999999907
1.4000000000000001	1124	0.1124	0.01263376	95.819	1.6189999999999998
1.6	1247	0.1247	0.01555009	96.214	2.013999999999996
1.8	1382	0.1382	0.019099239999999996	96.707	2.506999999999991
2.0	1503	0.1503	0.022590089999999997	97.216	3.015999999999991
2.2	1630	0.163	0.026569000000000002	97.753	3.5529999999999973
2.4000000000000004	1745	0.1745	0.030450249999999995	98.184	3.9839999999999947
